index,Product_name,Brand,Rating,No_Rating,key_benefits_list,Ingredients,Benefits
10,Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.6,167 Ratings,"Echinacea, Aconitum Nappelus, Sambucus Nigra, Baptisia Tinctoria, Thuja, Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system, Help fight bacterial and viral infections, Aconitum Nappelus helps those who become ill after a cold and cough, Helps to improve immunity and acts as an anti-septic, Thuja acts on the lymphatic\xa0 system and swollen glands, It is safe, scientific and long-lasting, Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place","['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja']","['Echinacea helps to increase white blood cells', 'which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\\xa0 system and swollen glands', 'It is safe', 'scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
11,SBL Jaborandi Hair Oil,SBL Pvt Ltd,4.3,243 Ratings,"Extract of Jaborandi herb, Nourishes hair roots, Strengthens hair and prevents hair fall, Protects hair from damage leaving the hair clean, smooth, silky, manageable and healthy, Rejuvenates scalp and stimulates hair follicles, Controls dandruff and promote hair growth, Strengthen and replenish hair lost lustre and vitality, bring shine, Increases hair density, add bounce and volume to hair, Nourishes hair by toning up the circulation of scalp, Prevents premature greying of hair, Treats itching of the scalp (scratching sensation) and eczema of head, psoriasis or dandruff, Take about 4-5 ml of Oil in the palm, Run your finger tips through the hair ensuring it touches the hair roots and rub gently, Apply the oil at night before bed and wash plus rinse it the next day morning, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children","['smooth', 'silky', 'bring shine']","['Extract of Jaborandi herb', 'Nourishes hair roots', 'Strengthens hair and prevents hair fall', 'Protects hair from damage leaving the hair clean', 'manageable and healthy', 'Rejuvenates scalp and stimulates hair follicles', 'Controls dandruff and promote hair growth', 'Strengthen and replenish hair lost lustre and vitality', 'Increases hair density', 'add bounce and volume to hair', 'Nourishes hair by toning up the circulation of scalp', 'Prevents premature greying of hair', 'Treats itching of the scalp (scratching sensation) and eczema of head', 'psoriasis or dandruff', 'Take about 4-5 ml of Oil in the palm', 'Run your finger tips through the hair ensuring it touches the hair roots and rub gently', 'Apply the oil at night before bed and wash plus rinse it the next day morning', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children']"
12,SBL Cineraria Maritima 10% Eye Drop,SBL Pvt Ltd,4.5,228 Ratings,"Cineraria maritima, Glycerinum, Phenyl Mercuric Nitrate, Aqua Distilled, The drops can be beneficial for the first signs of cataract, It may alleviate clouding of vision and double vision, It might improve poor night vision and fading of the colour, It can improve vision when there is a halo around lights, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool dry place away from direct sunlight, Keep out of reach of children","['Cineraria maritima', 'Glycerinum', 'Aqua Distilled']","['Phenyl Mercuric Nitrate', 'The drops can be beneficial for the first signs of cataract', 'It may alleviate clouding of vision and double vision', 'It might improve poor night vision and fading of the colour', 'It can improve vision when there is a halo around lights', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool dry place away from direct sunlight', 'Keep out of reach of children']"
13,ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,4.6,315 Ratings,"Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol, Provides relief from heart complaints in older adults, Relieves heart palpitation and irregular heartbeat, Can help with circulatory instability during menopause, Helps relieve fatigue, lightheadedness and tiredness, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children","['Cactus grandiflorus.2X', 'Crataegus', 'Strophantus 4X', 'Camphora 2X', 'Aether', 'Sulfuricus. 1X', 'Valeriana', 'Alcohol']","['Aurum. Mur. Natr. 4X', 'Provides relief from heart complaints in older adults', 'Relieves heart palpitation and irregular heartbeat', 'Can help with circulatory instability during menopause', 'Helps relieve fatigue', 'lightheadedness and tiredness', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children']"
14,Bjain Avena Sativa Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.4,52 Ratings,"Avena Sativa, Has a soothing and calming effect on the nervous system, Effective remedy for anxiety and stress, It is useful in curing ill effects of alcoholism such as sleeplessness and tremor, It helps treat nervous exhaustion, insomnia, and weakness of the nerves, Also has aphrodisiac properties and helps in the treatment of sexual debility, A dietary nutritional supplement not for medicinal use, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store at a cool and dry place, Should be protected from direct sunlight","['Avena Sativa', 'insomnia']","['Has a soothing and calming effect on the nervous system', 'Effective remedy for anxiety and stress', 'It is useful in curing ill effects of alcoholism such as sleeplessness and tremor', 'It helps treat nervous exhaustion', 'and weakness of the nerves', 'Also has aphrodisiac properties and helps in the treatment of sexual debility', 'A dietary nutritional supplement not for medicinal use', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store at a cool and dry place', 'Should be protected from direct sunlight']"
15,Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213 Ratings,"Guatteria Gaumeri, It helps reduce bad cholesterol in the body, Reduces lipid and fat content in the blood, Beneficial for dealing with anorexia and abdominal distention, 10-15 drops in 1/4th cup of water, three times a day or as directed by a healthcare practitioner, To be taken 10 minutes before or after meals, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children, Hyperlipidemia indicates too many lipids or fats in your blood, such as cholesterol and triglycerides, Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood",['Guatteria Gaumeri'],"['It helps reduce bad cholesterol in the body', 'Reduces lipid and fat content in the blood', 'Beneficial for dealing with anorexia and abdominal distention', '10-15 drops in 1/4th cup of water', 'three times a day or as directed by a healthcare practitioner', 'To be taken 10 minutes before or after meals', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children', 'Hyperlipidemia indicates too many lipids or fats in your blood', 'such as cholesterol and triglycerides', 'Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood']"
16,SBL Sarracenia Purpurea Dilution 1000 CH,SBL Pvt Ltd,4.8,24 Ratings,"It helps relieve throbbing headaches and pain throughout the body, Alleviates pain in the eyes, swelling, and soreness, Aids in reducing pain associated with rheumatism and arthritis, Improves the condition of skin eruptions, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place, away from direct sunlight and heat, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['swelling', 'and soreness', 'onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['It helps relieve throbbing headaches and pain throughout the body', 'Alleviates pain in the eyes', 'Aids in reducing pain associated with rheumatism and arthritis', 'Improves the condition of skin eruptions', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place', 'away from direct sunlight and heat', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
17,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,4.7,800 Ratings,"Calcarea Phosphorica, Patients who have a vulnerability to glandular and bone diseases, in teenagers who have less height, problems that arise due to inappropriate intake of calcium, milk or diet can be benefited after taking calcarea phosphorica, Benefits children with the slow development of teeth, having a tendency to form curves of the bones, spinal curvature where development of spine is slow and the child needs support while sitting, Used to prevent teething problems in infants, Helps to prevent difficulties related to teething like diarrhoea, loss of appetite, low-grade fever, irritability and biting, Helps in recovery from fracture, anaemia, and calcium-related deficiencies, Put tablets into the mouth and allow them to dissolve under the tongue, Adults and adolescents (12 years and older) 2 to 4 tablets, four times daily, or as recommended by your healthcare practitioner, Children (under 12 years) 2 tablets twice a day, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth such as coffee, onion, hing, mint, camphor, garlic etc. while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['Calcarea Phosphorica', 'low-grade fever', 'anaemia', 'onion', 'hing', 'mint', 'camphor']","['Patients who have a vulnerability to glandular and bone diseases', 'in teenagers who have less height', 'problems that arise due to inappropriate intake of calcium', 'milk or diet can be benefited after taking calcarea phosphorica', 'Benefits children with the slow development of teeth', 'having a tendency to form curves of the bones', 'spinal curvature where development of spine is slow and the child needs support while sitting', 'Used to prevent teething problems in infants', 'Helps to prevent difficulties related to teething like diarrhoea', 'loss of appetite', 'irritability and biting', 'Helps in recovery from fracture', 'and calcium-related deficiencies', 'Put tablets into the mouth and allow them to dissolve under the tongue', 'Adults and adolescents (12 years and older) 2 to 4 tablets', 'four times daily', 'or as recommended by your healthcare practitioner', 'Children (under 12 years) 2 tablets twice a day', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth such as coffee', 'garlic etc. while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
18,Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,4.7,800 Ratings,"Echinacea, Aconitum Nappelus, Sambucus Nigra, Baptisia Tinctoria, Thuja, Echinacea helps to increase white blood cells, which help in fighting infections and builds the immune system, Help fight bacterial and viral infections, Aconitum Nappelus helps those who become ill after a cold and cough, Helps to improve immunity and acts as an anti-septic, Thuja acts on the lymphatic\xa0 system and swollen glands, It is safe, scientific and long-lasting, Read the label carefully before use, Keep out of reach of the children, Store in a cool dry place","['Echinacea', 'Aconitum Nappelus', 'Sambucus Nigra', 'Baptisia Tinctoria', 'Thuja']","['Echinacea helps to increase white blood cells', 'which help in fighting infections and builds the immune system', 'Help fight bacterial and viral infections', 'Aconitum Nappelus helps those who become ill after a cold and cough', 'Helps to improve immunity and acts as an anti-septic', 'Thuja acts on the lymphatic\\xa0 system and swollen glands', 'It is safe', 'scientific and long-lasting', 'Read the label carefully before use', 'Keep out of reach of the children', 'Store in a cool dry place']"
19,Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,4.1,977 Ratings,"Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia, Agnus castus helps relieve physical exhaustion and weakness, Conium can help ease irritation and improve lack of concentration, Damiana helps strengthen the genital area, Phosphorus helps improve lack of power and performance, Sepia can help enhance cellular function and eliminate fatigue and aversion, 15 drops in a little water before meals,2-3 times daily, For rapid results, 10-15 drops every 1-2 hours for 2-3 days, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children","['Acidum phosphoricum', 'Agnus castus', 'China', 'Conium', 'Damiana', 'Phosphorus', 'Sepia']","['Agnus castus helps relieve physical exhaustion and weakness', 'Conium can help ease irritation and improve lack of concentration', 'Damiana helps strengthen the genital area', 'Phosphorus helps improve lack of power and performance', 'Sepia can help enhance cellular function and eliminate fatigue and aversion', '15 drops in a little water before meals', '2-3 times daily', 'For rapid results', '10-15 drops every 1-2 hours for 2-3 days', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children']"
20,Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,4.3,1115 Ratings,"Hypophysis, Juglans, Kalium phosphoricum, Polysorbatum, Testes, It helps enhance hair growth and strength, Purifies the blood and has anti-hormonal effects, Helps restore hair health and volume, Prevents balding and premature hair loss, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children","['Hypophysis', 'Juglans', 'Kalium phosphoricum', 'Polysorbatum', 'Testes']","['It helps enhance hair growth and strength', 'Purifies the blood and has anti-hormonal effects', 'Helps restore hair health and volume', 'Prevents balding and premature hair loss', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children']"
21,Bakson's Y-Lax Tablet,Bakson's Homeopathy,4.5,586 Ratings,"Senna, Sulphur, Y Lax tablets have strong laxative action that alleviates hard stools, relieves constipation, and tone up the intestines, It regulates bowel movements and helps ease strain during defecation, Y Lax tablets provide relief from itching, Reduces abdominal pain and flatulence, These homoeopathic tablets for constipation are useful for constipated bowels, muscular weakness with colic flatulence, Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place, away from direct sunlight and heat, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking the medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['Senna', 'Sulphur', 'relieves constipation', 'onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['Y Lax tablets have strong laxative action that alleviates hard stools', 'and tone up the intestines', 'It regulates bowel movements and helps ease strain during defecation', 'Y Lax tablets provide relief from itching', 'Reduces abdominal pain and flatulence', 'These homoeopathic tablets for constipation are useful for constipated bowels', 'muscular weakness with colic flatulence', 'Read the label carefully before use', 'Do not exceed the recommended dose', 'Keep out of the reach of children', 'Store in a cool and dry place', 'away from direct sunlight and heat', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking the medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
22,Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213 Ratings,"Guatteria Gaumeri, It helps reduce bad cholesterol in the body, Reduces lipid and fat content in the blood, Beneficial for dealing with anorexia and abdominal distention, 10-15 drops in 1/4th cup of water, three times a day or as directed by a healthcare practitioner, To be taken 10 minutes before or after meals, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children, Hyperlipidemia indicates too many lipids or fats in your blood, such as cholesterol and triglycerides, Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood",['Guatteria Gaumeri'],"['It helps reduce bad cholesterol in the body', 'Reduces lipid and fat content in the blood', 'Beneficial for dealing with anorexia and abdominal distention', '10-15 drops in 1/4th cup of water', 'three times a day or as directed by a healthcare practitioner', 'To be taken 10 minutes before or after meals', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children', 'Hyperlipidemia indicates too many lipids or fats in your blood', 'such as cholesterol and triglycerides', 'Hypercholesterolemia indicates too much non-HDL and LDL (bad) cholesterol in your blood']"
23,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,4.5,276 Ratings,"Thyroidinum 3X, It helps regulate the hormones and revitalises the body, Helps decrease muscle weakness and fatigue, Useful for thyroid disorders involving the eyes like exophthalmia, Improves mood and keeps the digestive system healthy, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children",['Thyroidinum 3X'],"['It helps regulate the hormones and revitalises the body', 'Helps decrease muscle weakness and fatigue', 'Useful for thyroid disorders involving the eyes like exophthalmia', 'Improves mood and keeps the digestive system healthy', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children']"
24,SBL Stobal Cough Syrup,SBL Pvt Ltd,4.6,1160 Ratings,"It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract, It acts on dry coughs aggravated by inspiring cold air, which causes stringy and tough expectoration, It reduces spasmodic irritation of the chest, It is a homeopathy cough medicine in dry and wet cough, removes phlegm and relieves difficulty in swallowing, Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a day, Children: One tablespoon 3-5 times a day or as directed by the physician, Do not exceed the recommended dosage, Read the label carefully before use, Store in a cool, dry place away from direct sunlight, Keep out of reach of children, Avoid any strong smell in the mouth, such as coffee, onion, hing, mint, camphor, garlic etc., while taking medicine, Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine","['onion', 'hing', 'mint', 'camphor', 'garlic etc.']","['It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract', 'It acts on dry coughs aggravated by inspiring cold air', 'which causes stringy and tough expectoration', 'It reduces spasmodic irritation of the chest', 'It is a homeopathy cough medicine in dry and wet cough', 'removes phlegm and relieves difficulty in swallowing', 'Adults: One tablespoon of SBL Stodal Cough Syrup 3-5 times a day', 'Children: One tablespoon 3-5 times a day or as directed by the physician', 'Do not exceed the recommended dosage', 'Read the label carefully before use', 'Store in a cool', 'dry place away from direct sunlight', 'Keep out of reach of children', 'Avoid any strong smell in the mouth', 'such as coffee', 'while taking medicine', 'Keep at least half an hour gap between food/drink/ any other medicines and allopathic medicine']"
